CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
7/30/24,0:01,Missing,,,,,PIDGEON MEADOW ROAD,46 AVENUE,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,4744238,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
8/23/24,12:28,Missing,,,,,TRIBOROUGH BRIDGE,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,4750728,Motorcycle,,,,
2/5/24,12:37,Missing,,40.590218,-74.164986,"(40.590218, -74.164986)",,,456       NOME AVENUE,0,0,0,0,0,0,0,0,Backing Unsafely,Backing Unsafely,,,,4700446,Sedan,Sedan,,,
1/26/24,14:48,BROOKLYN,11223,40.60059,-73.96137,"(40.60059, -73.96137)",CONEY ISLAND AVENUE,AVENUE T,,0,1,0,1,0,0,0,0,Unspecified,,,,,4698058,Sedan,,,,
7/26/24,0:40,Missing,,,,,BOWNE STREET,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4744559,Taxi,,,,
6/2/24,20:22,QUEENS,11385,40.700592,-73.85457,"(40.700592, -73.85457)",FOREST PARK DRIVE,WOODHAVEN BOULEVARD,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4729492,Sedan,,,,
6/2/24,18:00,Missing,,40.626205,-74.135925,"(40.626205, -74.135925)",,,40        CORNELL STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4729745,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
6/1/24,14:30,Missing,,40.84211,-73.82557,"(40.84211, -73.82557)",BRUCKNER EXPRESSWAY,,,0,0,0,0,0,0,0,0,Following Too Closely,Unsafe Speed,Unsafe Speed,Unspecified,,4730041,Taxi,Sedan,Sedan,,
5/31/24,1:03,Missing,,,,,VERRAZANO BRIDGE UPPER,,,4,0,0,0,0,0,4,0,Unsafe Lane Changing,Unspecified,,,,4729946,Station Wagon/Sport Utility Vehicle,Sedan,,,
6/2/24,4:50,BROOKLYN,11212,40.667706,-73.90636,"(40.667706, -73.90636)",STONE AVENUE,SUTTER AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4729653,Sedan,,,,
